Source_File,Sheet_Name,Data_Type,Ingredient,Components,Composition_pct,Supplier,Country,GMO,Nutrient,Value_per_100g
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Water,,0.516,浙江绍兴,,中国,,
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Rice,,0.413,安徽庐江,,中国,,
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Wheat,,0.071,安徽宣城,,中国,,
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,"* If any processing aid is used, please explain here:",,,,,,,
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,Energy (Kcal/KJ),Kcal: KJ:255
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,Fat,0.1
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,of which saturate fat,未检出
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,of which monounsaturated fat*,
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,"of which, polyunsaturated fat*",
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,Carbohydrate,3.6
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,of which sugar,1.6
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,of which Polyols*,
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,of which starch*,
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,Fibre*,
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,Protein,0.92
A006 Rice Wine from Shaoxing 10% 17042026.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,Salt,
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Soy Sauce,"Water, Soybeans, Salt, Corn",0.4,Ichibiki,Japan,NO,,
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Water,-,0.336,Local Public Water,Japan,NO,,
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Sugar,-,0.2,Nisshinseito,Japan,NO (Sugar Beet),,
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Salt,-,0.03,Nihonkaisui,Japan,NO,,
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Yeast Extract,-,0.02,Mitsubishi Shoji Life Science,Japan,NO,,
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Dried Kelp Stock,-,0.007,Kinkaishokuhin,Japan,NO,,
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Ingredient,Dried Shiitake Mushroom Stock,-,0.007,"Sugimotoshoten, Kashii",Japan,NO,,
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,Energy (Kcal/KJ),Kcal: 150 Kcal KJ: 630 KJ
C010 - Dashi Soy Sauce.xlsx,6-8.Ingre&Nutrition&Allergens,Nutrition,,,,,,,Fat,0.1 g
